Model,MSO54
Channel,CH1
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,62500
Zero Index,31249.53125000
Vertical Units,V
,
ANALOG_Thumbnail,

TIME,CH1
-4.99992500e-06,0.00000000e+00
-4.99976500e-06,0.00000000e+00
-4.99960500e-06,0.00000000e+00
-4.99944500e-06,0.00000000e+00
-4.99928500e-06,0.00000000e+00
-4.99912500e-06,0.00000000e+00
-4.99896500e-06,0.00000000e+00
-4.99880500e-06,0.00000000e+00
-4.99864500e-06,0.00000000e+00
-4.99848500e-06,0.00000000e+00
-4.99832500e-06,0.00000000e+00
-4.99816500e-06,0.00000000e+00
-4.99800500e-06,0.00000000e+00
-4.99784500e-06,0.00000000e+00
-4.99768500e-06,0.00000000e+00
-4.99752500e-06,0.00000000e+00
-4.99736500e-06,0.00000000e+00
-4.99720500e-06,0.00000000e+00
-4.99704500e-06,0.00000000e+00
-4.99688500e-06,0.00000000e+00
-4.99672500e-06,0.00000000e+00
-4.99656500e-06,0.00000000e+00
-4.99640500e-06,0.00000000e+00
-4.99624500e-06,0.00000000e+00
-4.99608500e-06,-8.00000000e-04
-4.99592500e-06,-8.00000000e-04
-4.99576500e-06,-8.00000000e-04
-4.99560500e-06,-8.00000000e-04
-4.99544500e-06,0.00000000e+00
-4.99528500e-06,0.00000000e+00
-4.99512500e-06,0.00000000e+00
-4.99496500e-06,0.00000000e+00
-4.99480500e-06,0.00000000e+00
-4.99464500e-06,0.00000000e+00
-4.99448500e-06,0.00000000e+00
-4.99432500e-06,0.00000000e+00
-4.99416500e-06,0.00000000e+00
-4.99400500e-06,0.00000000e+00
-4.99384500e-06,0.00000000e+00
-4.99368500e-06,0.00000000e+00
-4.99352500e-06,0.00000000e+00
-4.99336500e-06,0.00000000e+00
-4.99320500e-06,8.00000000e-04
-4.99304500e-06,8.00000000e-04
-4.99288500e-06,0.00000000e+00
-4.99272500e-06,0.00000000e+00
-4.99256500e-06,-8.00000000e-04
-4.99240500e-06,-8.00000000e-04
-4.99224500e-06,0.00000000e+00
-4.99208500e-06,0.00000000e+00
-4.99192500e-06,-8.00000000e-04
-4.99176500e-06,-8.00000000e-04
-4.99160500e-06,-8.00000000e-04
-4.99144500e-06,0.00000000e+00
-4.99128500e-06,0.00000000e+00
-4.99112500e-06,0.00000000e+00
-4.99096500e-06,0.00000000e+00
-4.99080500e-06,0.00000000e+00
-4.99064500e-06,0.00000000e+00
-4.99048500e-06,0.00000000e+00
-4.99032500e-06,0.00000000e+00
-4.99016500e-06,0.00000000e+00
-4.99000500e-06,0.00000000e+00
-4.98984500e-06,0.00000000e+00
-4.98968500e-06,0.00000000e+00
-4.98952500e-06,0.00000000e+00
-4.98936500e-06,0.00000000e+00
-4.98920500e-06,0.00000000e+00
-4.98904500e-06,0.00000000e+00
-4.98888500e-06,8.00000000e-04
-4.98872500e-06,8.00000000e-04
-4.98856500e-06,8.00000000e-04
-4.98840500e-06,0.00000000e+00
-4.98824500e-06,0.00000000e+00
-4.98808500e-06,0.00000000e+00
-4.98792500e-06,0.00000000e+00
-4.98776500e-06,0.00000000e+00
-4.98760500e-06,0.00000000e+00
-4.98744500e-06,0.00000000e+00
-4.98728500e-06,0.00000000e+00
-4.98712500e-06,0.00000000e+00
-4.98696500e-06,0.00000000e+00
-4.98680500e-06,0.00000000e+00
-4.98664500e-06,0.00000000e+00
-4.98648500e-06,0.00000000e+00
-4.98632500e-06,0.00000000e+00
-4.98616500e-06,0.00000000e+00
-4.98600500e-06,0.00000000e+00
-4.98584500e-06,0.00000000e+00
-4.98568500e-06,0.00000000e+00
-4.98552500e-06,0.00000000e+00
-4.98536500e-06,0.00000000e+00
-4.98520500e-06,0.00000000e+00
-4.98504500e-06,0.00000000e+00
-4.98488500e-06,0.00000000e+00
-4.98472500e-06,0.00000000e+00
-4.98456500e-06,0.00000000e+00
-4.98440500e-06,0.00000000e+00
-4.98424500e-06,0.00000000e+00
-4.98408500e-06,0.00000000e+00
-4.98392500e-06,0.00000000e+00
-4.98376500e-06,0.00000000e+00
-4.98360500e-06,0.00000000e+00
-4.98344500e-06,0.00000000e+00
-4.98328500e-06,0.00000000e+00
-4.98312500e-06,8.00000000e-04
-4.98296500e-06,8.00000000e-04
-4.98280500e-06,8.00000000e-04
-4.98264500e-06,0.00000000e+00
-4.98248500e-06,0.00000000e+00
-4.98232500e-06,0.00000000e+00
-4.98216500e-06,0.00000000e+00
-4.98200500e-06,0.00000000e+00
-4.98184500e-06,0.00000000e+00
-4.98168500e-06,0.00000000e+00
-4.98152500e-06,0.00000000e+00
-4.98136500e-06,0.00000000e+00
-4.98120500e-06,0.00000000e+00
-4.98104500e-06,0.00000000e+00
-4.98088500e-06,0.00000000e+00
-4.98072500e-06,0.00000000e+00
-4.98056500e-06,-8.00000000e-04
-4.98040500e-06,0.00000000e+00
-4.98024500e-06,0.00000000e+00
-4.98008500e-06,0.00000000e+00
-4.97992500e-06,0.00000000e+00
-4.97976500e-06,0.00000000e+00
-4.97960500e-06,0.00000000e+00
-4.97944500e-06,0.00000000e+00
-4.97928500e-06,0.00000000e+00
-4.97912500e-06,0.00000000e+00
-4.97896500e-06,0.00000000e+00
-4.97880500e-06,0.00000000e+00
-4.97864500e-06,0.00000000e+00
-4.97848500e-06,0.00000000e+00
-4.97832500e-06,0.00000000e+00
-4.97816500e-06,0.00000000e+00
-4.97800500e-06,0.00000000e+00
-4.97784500e-06,0.00000000e+00
-4.97768500e-06,0.00000000e+00
-4.97752500e-06,0.00000000e+00
-4.97736500e-06,0.00000000e+00
-4.97720500e-06,0.00000000e+00
-4.97704500e-06,-8.00000000e-04
-4.97688500e-06,-8.00000000e-04
-4.97672500e-06,0.00000000e+00
-4.97656500e-06,0.00000000e+00
-4.97640500e-06,0.00000000e+00
-4.97624500e-06,0.00000000e+00
-4.97608500e-06,0.00000000e+00
-4.97592500e-06,0.00000000e+00
-4.97576500e-06,0.00000000e+00
-4.97560500e-06,0.00000000e+00
-4.97544500e-06,0.00000000e+00
-4.97528500e-06,0.00000000e+00
-4.97512500e-06,0.00000000e+00
-4.97496500e-06,0.00000000e+00
-4.97480500e-06,0.00000000e+00
-4.97464500e-06,0.00000000e+00
-4.97448500e-06,0.00000000e+00
-4.97432500e-06,0.00000000e+00
-4.97416500e-06,0.00000000e+00
-4.97400500e-06,0.00000000e+00
-4.97384500e-06,0.00000000e+00
-4.97368500e-06,0.00000000e+00
-4.97352500e-06,0.00000000e+00
-4.97336500e-06,0.00000000e+00
-4.97320500e-06,0.00000000e+00
-4.97304500e-06,0.00000000e+00
-4.97288500e-06,0.00000000e+00
-4.97272500e-06,0.00000000e+00
-4.97256500e-06,0.00000000e+00
-4.97240500e-06,-8.00000000e-04
-4.97224500e-06,-8.00000000e-04
-4.97208500e-06,0.00000000e+00
-4.97192500e-06,0.00000000e+00
-4.97176500e-06,8.00000000e-04
-4.97160500e-06,8.00000000e-04
-4.97144500e-06,0.00000000e+00
-4.97128500e-06,0.00000000e+00
-4.97112500e-06,0.00000000e+00
-4.97096500e-06,0.00000000e+00
-4.97080500e-06,8.00000000e-04
-4.97064500e-06,8.00000000e-04
